N208AB,2013-07-09 05:53:33,,,,,,N208AB,N208AB,,P,,,,,,,,,,,2013-07-10 00:25:45,2013-07-09 23:40:00,,,PGSN,,,,,PGUM,,,,,,,,,,,,GSN..SN..PGUM/0044,,,,,
N119TV,2013-07-09 08:00:00,,,,,,N119TV,N119TV,,P,,,,,,,,,,,2013-07-10 02:02:30,2013-07-10 01:10:00,,,KMTN,,,,,KMTN,,,,,,,,,,,,MTN..DCA020007..KMTN/0200,,,,,
N5803S,2013-07-09 08:00:05,,,,,,N5803S,N5803S,,P,,,,,,,,,,,2013-07-10 01:24:33,2013-07-10 01:10:00,,,KFME,,,,,KFME,,,,,,,,,,,,ME..DCA007007..FME/0200,,,,,
N5205J,2013-07-09 08:30:00,,,,,,N5205J,N5205J,,P,,,,,,,,,,,2013-07-10 03:08:51,2013-07-10 01:44:00,,,KBUF,,,,,KMMU,,,,,,,,,,,,UF..LVZ..STW..MMU/0125,,,,,
N107HF,2013-07-09 09:00:00,,,,,,N107HF,N107HF,,P,,,,,,,,,,,2013-07-10 03:31:31,2013-07-10 02:27:00,,,KCLT,,,,,KORL,,,,,,,,,,,,LT..2833/8120..ORL/0100,,,,,
N90GL,2013-07-09 09:00:01,,,,,,N90GL,N90GL,,P,,,,,,,,,,,2013-07-10 03:39:56,2013-07-10 02:10:00,,,KHRL,,,,,,,,,,,,,,,,,RL..CRP..EDC/0130,,,,,
N7037C,2013-07-09 10:00:00,,,,,,N7037C,N7037C,,P,,,,,,,,,,,2013-07-10 04:56:48,2013-07-10 03:10:00,,,,,,,,,,,,,,,,,,,,32..GTN/D1+30..W32/0200,,,,,
N119TV,2013-07-09 10:00:01,,,,,,N119TV,N119TV,,P,,,,,,,,,,,2013-07-10 04:02:23,2013-07-10 03:10:00,,,KMTN,,,,,KMTN,,,,,,,,,,,,MTN..DCA020007..KMTN/0200,,,,,
N5803S,2013-07-09 10:00:01,,,,,,N5803S,N5803S,,P,,,,,,,,,,,2013-07-10 03:24:35,2013-07-10 03:10:00,,,KFME,,,,,KFME,,,,,,,,,,,,ME..DCA007007..FME/0200,,,,,
N100DF,2013-07-09 11:30:26,,,,,,N100DF,N100DF,,P,,,,,,,,,,,2013-07-10 00:08:00,2013-07-09 23:30:00,,,KBKL,,,,,CYYZ,,,,,,,,,,,,BKL..FAILS.V443.DOGGS..YXU.V98.YWT..CYYZ/0038,,,,,
N119TV,2013-07-09 12:00:00,,,,,,N119TV,N119TV,,P,,,,,,,,,,,2013-07-10 06:02:32,2013-07-10 05:10:00,,,KMTN,,,,,KMTN,,,,,,,,,,,,MTN..DCA020007..KMTN/0200,,,,,
N5803S,2013-07-09 12:00:01,,,,,,N5803S,N5803S,,P,,,,,,,,,,,2013-07-10 05:24:32,2013-07-10 05:10:00,,,KFME,,,,,KFME,,,,,,,,,,,,ME..DCA007007..FME/0200,,,,,
N650PW,2013-07-09 12:00:46,,,,,39000,N650PW,N650PW,,P,,,,GLF4,,,,,,,2013-07-10 03:41:00,2013-07-10 00:00:00,,,KRAP,,,,,CYYR,,,,,,,,,,,,RAP..RAP.J158.ABR.J32.DLH.J533.YQT.J481.YAN..ROBBE..UAC..CYYR/0341,,,,,
N22GM,2013-07-09 12:40:13,,,,,,N22GM,N22GM,,P,,,,,,,,,,,2013-07-10 00:43:13,2013-07-09 22:23:00,,,KFLL,,,,,MGGT,,,,,,,,,,,,FLL..MNATE..MTH.B646.CANOA.UB646.VINKA.UB764.BZE.UR630.MGGT/0214,,,,,
N150BC,2013-07-09 13:12:23,,,,,,N150BC,N150BC,,P,,,,,,,,,,,2013-07-10 09:28:00,2013-07-10 00:00:00,,,KSLE,,,,,EGSS,,,,,,,,,,,,SLE..LTJ.J143.GEG.J517.YXC.J505.YVC.J540.YYL.J539.YYQ.NCAE.KASIT..SF..KEF..6300N/2000W..RATSU.UN610.STN.UN615.HON..EGSS/0928,,,,,
N925BC,2013-07-09 13:32:26,,,,,,N925BC,N925BC,,P,,,,,,,,,,,2013-07-10 01:51:27,2013-07-10 01:17:00,,,KDCA,,,,,KMMU,,,,,,,,,,,,CA..SWANN.V445.DQO..FROSE.V3.SBJ..MMU/0036,,,,,
N119TV,2013-07-09 14:00:00,,,,,,N119TV,N119TV,,P,,,,,,,,,,,2013-07-10 08:02:32,2013-07-10 07:10:00,,,KMTN,,,,,KMTN,,,,,,,,,,,,MTN..DCA020007..KMTN/0200,,,,,
N5803S,2013-07-09 14:00:01,,,,,,N5803S,N5803S,,P,,,,,,,,,,,2013-07-10 07:24:32,2013-07-10 07:10:00,,,KFME,,,,,KFME,,,,,,,,,,,,ME..DCA007007..FME/0200,,,,,
